pl2FileName,sessionName,areaName,blockNames,gratingsTask3DIndices,gratingsTask3DLogIndices,gratingsTask0DIndices,gratingsTask0DLogIndices,vepmIndices,aepmIndices,rfMappingOldIndices,spikeChannelPrefix,spikeChannelsToLoad,muaChannelsToLoad,lfpChannelsToLoad,spkcChannelsToLoad,directChannelsToLoad,pldChannels,plvChannels,pmChannels,piChannels,notes
M20170127-all_merged_noWB.pl2,M20170127,PUL,"vepm1, vepm2, rfm1, g1, g2, g3, g4, g5, rest1, rfm2, vepm3","6, 7, 8","5, 6, 7",,,"1, 2",,"3, 10",SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],1,2:9,"vepm3: ignore"
M20170130-all_merged_noWB.pl2,M20170130,PUL,"vepm1, rfm1, g1, g2, g3, g4, g5, g6, g7, rest1, g8, g9, rfm2","4, 5, 7, 9, 11, 12","3, 4, 6, 8, 9, 10","3, 6, 8","1, 5, 7","1",,"2, 13",SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],1:15,16:23,"g2: poor performance, g3: poorer performance, g5, g7, g8, g9: faint distractors"
M20170201-all_merged_noWB.pl2,M20170201,PUL,"vepm3, rfm1, rest1, g1, g2, g3, g4, g5, g6, g7, g8, g9, vepm4","6, 7, 8, 9, 10, 11","5, 6, 7, 8, 9, 10","4, 5","1, 3","1",,"2",SPK_SPKC,1:32,1:32,1:32,1:32,1:3,1:8,[],9:24,25:32,"g9: rest"
M20170211-all_merged_noWB.pl2,M20170211,PUL,"vepm4, rfm2, rest4, g1, g2, g3, g4, g5, g6, g7, vepm5, rfm3","5, 6, 7, 8, 9","2, 3, 4, 5, 6","4","1","1",,"2, 12",SPK_SPKC,1:32,1:32,1:32,1:32,1:3,1:7,[],8:23,24:32,"g7: no trials, vepm5: started recording a few trials in"
M20170308-all_merged_noWB-d1_34.0mm_d2_34.45mm.pl2,M20170308,PUL,"vepm3, vepm4, rfm1, rest1, g1, g2, g3, g4, g5, g6, g7, g8, rfm2, vepm5, rest2","6, 7, 8, 9, 10, 11, 12","2, 3, 4, 5, 6, 7, 8",,,"1, 2, 14",,"3, 13",SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],"g2, g3: poor performance. g4, g5, g6, g7: shorter hold time. g8: 3 full distractors instead of adjacent faint distractors. g1: possibly forgot to start eye tracking"
M20170308-all_merged_noWB-d1_34.0mm_d2_34.45mm.pl2,M20170308,PUL,"vepm3, vepm4, rfm1, rest1, g1, g2, g3, g4, g5, g6, g7, g8, rfm2, vepm5, rest2","6, 7, 8, 9, 10, 11, 12","2, 3, 4, 5, 6, 7, 8",,,"1, 2, 14",,"3, 13",SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],"g2, g3: poor performance. g4, g5, g6, g7: shorter hold time. g8: 3 full distractors instead of adjacent faint distractors. g1: possibly forgot to start eye tracking"
M20170311-all_merged_noWB-d1_35.00mm_d2_35.00mm.pl2,M20170311,PUL,"vepm2, vepm3, vepm4, rfm1, g1, g3, g4, g5, g6, g7, g8, g9, rfm2, vepm5, rest2","6, 7, 9, 10, 11, 12","3, 4, 6, 7, 8, 9","5, 8","1, 5","1, 2, 3, 14",,"4, 13",SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],"no g2 because forgot to record. g3, g4: poor performance. g4, g6, g7, g8, g9: dim adjacent distractors."
M20170311-all_merged_noWB-d1_35.00mm_d2_35.00mm.pl2,M20170311,PUL,"vepm2, vepm3, vepm4, rfm1, g1, g3, g4, g5, g6, g7, g8, g9, rfm2, vepm5, rest2","6, 7, 9, 10, 11, 12","3, 4, 6, 7, 8, 9","5, 8","1, 5","1, 2, 3, 14",,"4, 13",SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],"no g2 because forgot to record. g3, g4: poor performance. g4, g6, g7, g8, g9: dim adjacent distractors."
M20170320-all_merged_noWB-d1_33.75mm_d2_35.25mm.pl2,M20170320,PUL,"vepm2, rfm1, g1, g2, g3, g4, g5, g6, g7, rfm2, vepm3, rest2","4, 5, 6, 7, 8","2, 3, 4, 5, 6","3","1","1, 11",,"2, 10",SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],"g7 0D: remove last minute or so because it has RFM events - ignoring for now"
M20170320-all_merged_noWB-d1_33.75mm_d2_35.25mm.pl2,M20170320,PUL,"vepm2, rfm1, g1, g2, g3, g4, g5, g6, g7, rfm2, vepm3, rest2","4, 5, 6, 7, 8","2, 3, 4, 5, 6","3","1","1, 11",,"2, 10",SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],"g7 0D: remove last minute or so because it has RFM events - ignoring for now"
M20170324-all_merged_noWB-d1_34.65mm_d2_34.65mm.pl2,M20170324,PUL,"vepm1, vepm2, rest1, vepm3, vepm4, rest2, rfm1, rfm2, g1, g2, g3, rest3, vepm5, g4, g5, g6, rfm3, rest4","14, 15, 16","5, 6, 7",,,"1, 2, 4, 5, 13",,"7, 8, 17",SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],"vepm1: skip, different depth. g1, g2, g3: poor performance. ignore. g4, g5, g6: still poor performance (65%). g5, g6: reduced hold time"
M20170324-all_merged_noWB-d1_34.65mm_d2_34.65mm.pl2,M20170324,PUL,"vepm1, vepm2, rest1, vepm3, vepm4, rest2, rfm1, rfm2, g1, g2, g3, rest3, vepm5, g4, g5, g6, rfm3, rest4","14, 15, 16","5, 6, 7",,,"1, 2, 4, 5, 13",,"7, 8, 17",SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],"vepm1: skip, different depth. g1, g2, g3: poor performance. ignore. g4, g5, g6: still poor performance (65%). g5, g6: reduced hold time"
M20170327-all_merged_noWB-d1_34.00mm_d2_34.00mm,M20170327,PUL,"vepm1, vepm2, aepm1, rfm1, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, rfm2, rfm3, vepm3, vepm4, rfm4","6, 7, 8, 9","2, 3, 4, 5",,,"1, 2, 17, 18",3,"4, 15, 16",SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],1:11,12:20,
M20170327-all_merged_noWB-d1_34.00mm_d2_34.00mm,M20170327,PUL,"vepm1, vepm2, aepm1, rfm1, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, rfm2, rfm3, vepm3, vepm4, rfm4","6, 7, 8, 9","2, 3, 4, 5",,,"1, 2, 17, 18",3,"4, 15, 16",SPK_SPKC,33:64,33:64,33:64,33:64,1:3,33:36,[],37:56,57:64,
M20170329-all_merged_noWB-d1_34.10mm_d2_34.60mm.pl2,M20170329,PUL,"vepm1, vepm2, aepm1, rfm1, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, rfm2, vepm3, aepm2, rest1","6, 7, 8, 9","2, 3, 4, 5","5","1","1, 2, 16","3, 17","4, 15",SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],"vepm1: skip, different depth. g1-g5: arrangement 1. g6-g10: arrangement 2"
M20170329-all_merged_noWB-d1_34.10mm_d2_34.60mm.pl2,M20170329,PUL,"vepm1, vepm2, aepm1, rfm1, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, rfm2, vepm3, aepm2, rest1","6, 7, 8, 9","2, 3, 4, 5","5","1","1, 2, 16","3, 17","4, 15",SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],"vepm1: skip, different depth. g1-g5: arrangement 1. g6-g10: arrangement 2"
M20170329-all_merged_noWB-d1_34.10mm_d2_34.60mm.pl2,M20170329,PUL,"vepm1, vepm2, aepm1, rfm1, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, rfm2, vepm3, aepm2, rest1","10, 11, 12, 13","6, 7, 8, 9","14","10","1, 2, 16","3, 17","4, 15",SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],"vepm1: skip, different depth. g1-g5: arrangement 1. g6-g10: arrangement 2"
M20170329-all_merged_noWB-d1_34.10mm_d2_34.60mm.pl2,M20170329,PUL,"vepm1, vepm2, aepm1, rfm1, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, rfm2, vepm3, aepm2, rest1","10, 11, 12, 13","6, 7, 8, 9","14","10","1, 2, 16","3, 17","4, 15",SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],"vepm1: skip, different depth. g1-g5: arrangement 1. g6-g10: arrangement 2"
20170331-all_merged_noWB.pl2,M20170331,PUL,"vepm2, aepm2, rfm1, g1, g2, g3, g4, g5, g6, g7, g8, g9, rfm2, vepm3, aepm3, rfm3, rfm4, rest1","6, 7, 8, 9","3, 4, 5, 6","5","2","1, 14","2, 15","3, 13, 16, 17",SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],"g1: 3d at old arrangement. ignore. or include with g7, g8, g9 below"
20170331-all_merged_noWB.pl2,M20170331,PUL,"vepm2, aepm2, rfm1, g1, g2, g3, g4, g5, g6, g7, g8, g9, rfm2, vepm3, aepm3, rfm3, rfm4, rest1","6, 7, 8, 9","3, 4, 5, 6","5","2","1, 14","2, 15","3, 13, 16, 17",SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],"g1: 3d at old arrangement. ignore. or include with g7, g8, g9 below"
20170331-all_merged_noWB.pl2,M20170331,PUL,"vepm2, aepm2, rfm1, g1, g2, g3, g4, g5, g6, g7, g8, g9, rfm2, vepm3, aepm3, rfm3, rfm4, rest1","10, 11","7, 8","12","9","1, 14","2, 15","3, 13, 16, 17",SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],
20170331-all_merged_noWB.pl2,M20170331,PUL,"vepm2, aepm2, rfm1, g1, g2, g3, g4, g5, g6, g7, g8, g9, rfm2, vepm3, aepm3, rfm3, rfm4, rest1","10, 11","7, 8","12","9","1, 14","2, 15","3, 13, 16, 17",SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],
20170407-all_merged_noWB.pl2,M20170407,PUL,"vepm2, aepm2, rfm1, rfm2, rfm3, g1, g2, g3, g4, g5, g6, rfm4, rfm5, vepm3, aepm3, rest1","7, 8, 9, 10, 11","2, 3, 4, 5, 6","6","1","1, 14","2, 15","3, 4, 5, 12, 13",SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],
20170529-all_merged_noWB.pl2,M20170529,PUL,"vepm4, vepm5, aepm1, aepm2, aepm3, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, rfm5, rest1","11, 12, 13","2, 3, 4","10","1","1, 2","3, 4, 5",,SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],
