sessionName,blockInd,mode,resultsFileName,comments
M20170529,6,1,multi_flash_rf_mapping_results_20170529-173737.json,
M20170529,7,2,multi_flash_rf_mapping_results_20170529-174741.json,
M20170529,8,3,multi_flash_rf_mapping_results_20170529-175055.json,
M20170529,9,5,multi_flash_rf_mapping_results_20170529-180028.json,
M20170601,3,1,multi_flash_rf_mapping_results_20170601-160611.json,
M20170601,4,2,multi_flash_rf_mapping_results_20170601-161636.json,
M20170601,5,3,multi_flash_rf_mapping_results_20170601-161919.json,
M20170601,6,5,multi_flash_rf_mapping_results_20170601-162703.json,
M20170601,12,6,multi_flash_rf_mapping_results_20170601-181818.json,
M20170608,4,1,multi_flash_rf_mapping_results_20170608-155719.json,
M20170608,5,2,multi_flash_rf_mapping_results_20170608-160603.json,
M20170608,6,3,multi_flash_rf_mapping_results_20170608-160844.json,
M20170608,7,5,multi_flash_rf_mapping_results_20170608-161651.json,
M20170613,3,1,multi_flash_rf_mapping_results_20170613-184901.json,
M20170613,4,2,multi_flash_rf_mapping_results_20170613-190238.json,
M20170613,5,3,multi_flash_rf_mapping_results_20170613-190814.json,
M20170613,6,5,multi_flash_rf_mapping_results_20170613-191918.json,
M20170615,3,1,multi_flash_rf_mapping_results_20170615-155905.json,
M20170615,4,2,multi_flash_rf_mapping_results_20170615-160910.json,
M20170615,5,3,multi_flash_rf_mapping_results_20170615-161149.json,
M20170615,6,5,multi_flash_rf_mapping_results_20170615-162046.json,blockInd 12 corresponds to mode 6 and two results files
M20170618,3,1,multi_flash_rf_mapping_results_20170618-165308.json,
M20170618,4,2,multi_flash_rf_mapping_results_20170618-170215.json,
M20170618,5,3,multi_flash_rf_mapping_results_20170618-170448.json,
M20170618,6,5,multi_flash_rf_mapping_results_20170618-171307.json,
M20170621,3,1,multi_flash_rf_mapping_results_20170621-180530.json,
M20170621,4,2,multi_flash_rf_mapping_results_20170621-181412.json,
M20170621,5,3,multi_flash_rf_mapping_results_20170621-181655.json,
M20170621,6,5,multi_flash_rf_mapping_results_20170621-182504.json,
F20171002,5,1,multi_flash_rf_mapping_results_20171002-163903.json,
F20171004,4,1,multi_flash_rf_mapping_results_20171004-144626.json,
F20171004,5,2,multi_flash_rf_mapping_results_20171004-145821.json,
F20171004,6,3,multi_flash_rf_mapping_results_20171004-150151.json,
F20171004,7,5,multi_flash_rf_mapping_results_20171004-151133.json,skip other rfm blocks because of low trials and poor performance
F20171009,9,1,multi_flash_rf_mapping_results_20171009-183831.json,there are other rfm mode 1 but performance is poor
F20171011,7,1,multi_flash_rf_mapping_results_20171011-140747.json,
F20171011,9,1,multi_flash_rf_mapping_results_20171011-141803.json,
F20171011,10,2,multi_flash_rf_mapping_results_20171011-142902.json,
F20171011,11,3,multi_flash_rf_mapping_results_20171011-143156.json,
F20171011,12,5,multi_flash_rf_mapping_results_20171011-144204.json,
F20171011,13,2,multi_flash_rf_mapping_results_20171011-144753.json,
F20171011,20,3,multi_flash_rf_mapping_results_20171011-163757.json,change locations
F20171017,8,1,multi_flash_rf_mapping_results_20171017-180437.json,
F20171017,9,2,multi_flash_rf_mapping_results_20171017-181707.json,
F20171017,10,3,multi_flash_rf_mapping_results_20171017-182112.json,
F20171017,11,5,multi_flash_rf_mapping_results_20171017-183048.json,
F20171017,12,2,multi_flash_rf_mapping_results_20171017-183637.json,
F20171017,13,3,multi_flash_rf_mapping_results_20171017-183956.json,
F20171017,14,5,multi_flash_rf_mapping_results_20171017-185058.json,
F20171019,4,1,multi_flash_rf_mapping_results_20171019-141302.json,
F20171019,6,2,multi_flash_rf_mapping_results_20171019-144700.json,
F20171019,7,3,multi_flash_rf_mapping_results_20171019-145050.json,
F20171019,8,5,multi_flash_rf_mapping_results_20171019-150039.json,
F20171022,4,1,multi_flash_rf_mapping_results_20171022-143544.json,
F20171022,5,2,multi_flash_rf_mapping_results_20171022-144544.json,
F20171022,6,3,multi_flash_rf_mapping_results_20171022-144855.json,
F20171022,7,5,multi_flash_rf_mapping_results_20171022-145729.json,
F20171022,14,2,multi_flash_rf_mapping_results_20171022-170711.json,
F20171022,15,3,multi_flash_rf_mapping_results_20171022-171055.json,
F20171022,16,5,multi_flash_rf_mapping_results_20171022-172114.json,
F20171024,4,1,multi_flash_rf_mapping_results_20171024-163053.json,
F20171024,5,2,multi_flash_rf_mapping_results_20171024-163941.json,
F20171024,6,3,multi_flash_rf_mapping_results_20171024-164236.json,
F20171024,7,5,multi_flash_rf_mapping_results_20171024-165045.json,
F20171024,8,2,multi_flash_rf_mapping_results_20171024-165534.json,
F20171024,9,3,multi_flash_rf_mapping_results_20171024-165826.json,
F20171024,10,5,multi_flash_rf_mapping_results_20171024-170621.json,
F20171026,6,1,multi_flash_rf_mapping_results_20171026-155225.json,
F20171026,7,2,multi_flash_rf_mapping_results_20171026-160154.json,
F20171026,8,3,multi_flash_rf_mapping_results_20171026-160455.json,
F20171026,9,5,multi_flash_rf_mapping_results_20171026-161319.json,
F20171028,6,1,multi_flash_rf_mapping_results_20171028-135454.json,
F20171028,7,2,multi_flash_rf_mapping_results_20171028-140403.json,
F20171028,8,3,multi_flash_rf_mapping_results_20171028-140649.json,
F20171028,9,5,multi_flash_rf_mapping_results_20171028-141456.json,
F20171028,10,2,multi_flash_rf_mapping_results_20171028-141957.json,
F20171028,11,3,multi_flash_rf_mapping_results_20171028-142231.json,
F20171028,12,5,multi_flash_rf_mapping_results_20171028-143053.json,
F20171101,4,1,multi_flash_rf_mapping_results_20171101-141758.json,
F20171101,5,2,multi_flash_rf_mapping_results_20171101-142716.json,
F20171101,6,3,multi_flash_rf_mapping_results_20171101-143001.json,
F20171101,7,5,multi_flash_rf_mapping_results_20171101-143750.json,
F20171106,5,1,multi_flash_rf_mapping_results_20171106-153143.json,
F20171106,6,2,multi_flash_rf_mapping_results_20171106-154016.json,
F20171106,7,3,multi_flash_rf_mapping_results_20171106-154246.json,
F20171106,8,5,multi_flash_rf_mapping_results_20171106-155115.json,
